index,Airport,CO2,NOx,CO,HC,Phase
830,JZH,89.72,0.46,0.038,0.0011,idle
831,KCA,171.44,0.99,0.059,0.004,idle
832,KGT,10.88,0.06,0.005,0.0001,idle
833,KHG,676.1,4.65,0.175,0.016,idle
834,KHN,2020.62,13.8,0.572,0.0617,idle
835,KJH,4.73,0.03,0.001,0.0002,idle
836,KJI,16.98,0.12,0.004,0.0005,idle
837,KMG,7413.96,52.4,1.935,0.2247,idle
838,KOW,420.72,3.01,0.116,0.0136,idle
839,KRL,530.94,3.45,0.157,0.0146,idle
840,KRY,138.02,0.89,0.04,0.0031,idle
841,KWE,3832.74,27.46,0.956,0.1196,idle
842,KWL,1116.76,7.78,0.314,0.0336,idle
843,LCX,63.86,0.43,0.019,0.0019,idle
844,LDS,37.69,0.26,0.01,0.0012,idle
845,LFQ,240.51,1.7,0.072,0.0075,idle
846,LHW,2871.67,20.2,0.788,0.0879,idle
847,LJG,1474.49,9.86,0.451,0.0439,idle
848,LLF,31.92,0.23,0.009,0.0011,idle
849,LLV,168.94,1.14,0.05,0.0051,idle
850,LNJ,56.19,0.39,0.013,0.0018,idle
851,LNL,104.61,0.7,0.028,0.0031,idle
852,LPF,18.07,0.12,0.005,0.0006,idle
853,LUM,455.59,3.17,0.114,0.0145,idle
854,LXA,1355.56,8.72,0.443,0.0171,idle
855,LYA,264.17,1.86,0.071,0.0084,idle
856,LYG,324.07,2.13,0.093,0.0094,idle
857,LYI,484.57,3.39,0.136,0.0154,idle
858,LZH,292.48,2.01,0.085,0.0091,idle
859,LZO,484.7,3.47,0.134,0.015,idle
860,LZY,166.36,0.86,0.068,0.0024,idle
861,MDG,157.65,1.12,0.04,0.005,idle
862,MIG,622.87,4.32,0.167,0.0183,idle
863,MXZ,25.86,0.13,0.01,0.0006,idle
864,NAO,212.58,1.5,0.054,0.0051,idle
865,NBS,52.69,0.4,0.014,0.0017,idle
866,NDG,95.07,0.67,0.025,0.0031,idle
867,NGB,2158.03,15.63,0.564,0.0674,idle
868,NGQ,30.93,0.16,0.013,0.0004,idle
869,NKG,4936.13,35.08,1.335,0.1536,idle
870,NLH,8.46,0.06,0.002,0.0003,idle
871,NLT,9.21,0.05,0.003,0.0002,idle
872,NNG,2377.7,16.88,0.601,0.0745,idle
873,NNY,237.69,1.5,0.072,0.0067,idle
874,NTG,830.82,5.91,0.205,0.0265,idle
875,NZH,74.59,0.43,0.027,0.0019,idle
876,NZL,49.73,0.27,0.019,0.0011,idle
877,OHE,32.5,0.19,0.012,0.0009,idle
878,PEK,10805.64,77.05,2.876,0.2085,idle
879,PKX,8647.26,64.13,2.058,0.2222,idle
880,PVG,8389.82,60.59,2.277,0.2415,idle
881,PZI,20.73,0.11,0.009,0.0003,idle
882,QSZ,92.25,0.53,0.033,0.0023,idle
883,RIZ,219.14,1.55,0.063,0.0073,idle
884,RKZ,25.97,0.13,0.011,0.0003,idle
885,RLK,118.28,0.66,0.045,0.0029,idle
886,RQA,23.73,0.15,0.007,0.0006,idle
887,SHA,8057.31,57.78,2.108,0.1567,idle
888,SHE,3744.53,26.83,0.994,0.1142,idle
889,SHF,53.72,0.34,0.017,0.0015,idle
890,SHS,209.65,1.45,0.055,0.0067,idle
891,SJW,1761.55,12.44,0.459,0.0556,idle
892,SQD,111.85,0.77,0.027,0.0035,idle
893,SQJ,82.36,0.56,0.022,0.0024,idle
894,SWA,1343.09,9.03,0.398,0.0403,idle
895,SYM,22.58,0.14,0.008,0.0006,idle
896,SYX,3696.01,27.66,0.94,0.1005,idle
897,SZX,10918.84,79.71,2.759,0.2665,idle
898,TAO,4205.07,30.37,1.061,0.1304,idle
899,TCG,65.94,0.39,0.023,0.0017,idle
900,TCZ,161.11,1.12,0.038,0.0051,idle
901,TEN,143.17,0.98,0.04,0.0046,idle
902,TFU,8890.65,63.68,2.367,0.2449,idle
903,TGO,266.32,1.53,0.093,0.0066,idle
904,TLQ,62.33,0.37,0.023,0.0017,idle
905,TNA,3347.82,24.08,0.803,0.1025,idle
906,TNH,47.89,0.34,0.013,0.0014,idle
907,TSN,3641.14,25.26,0.964,0.1092,idle
908,TVS,96.97,0.66,0.029,0.0031,idle
909,TWC,101.92,0.6,0.035,0.0027,idle
910,TXN,189.35,1.28,0.058,0.0057,idle
911,TYN,2535.5,18.12,0.66,0.0787,idle
912,UCB,24.25,0.16,0.007,0.0008,idle
913,URC,4564.21,32.79,1.037,0.1187,idle
914,UYN,491.56,3.21,0.152,0.0145,idle
915,WDS,299.64,2.06,0.08,0.0094,idle
916,WEF,125.42,0.88,0.034,0.0041,idle
917,WEH,548.96,3.68,0.175,0.016,idle
918,WGN,47.83,0.3,0.014,0.0013,idle
919,WHA,301.94,1.97,0.096,0.0087,idle
920,WMT,433.53,3.19,0.108,0.0139,idle
921,WNH,62.72,0.44,0.019,0.0019,idle
922,WNZ,2264.06,16.37,0.585,0.0698,idle
923,WSK,3.62,0.02,0.002,0,idle
924,WUA,134.2,0.91,0.038,0.004,idle
925,WUH,5148.13,36.65,1.341,0.1611,idle
926,WUS,27.21,0.17,0.009,0.0007,idle
927,WUT,167.39,1.2,0.045,0.0054,idle
928,WUX,1869.09,13.4,0.485,0.0577,idle
929,WUZ,72.62,0.51,0.019,0.0024,idle
930,WXN,185.78,1.32,0.05,0.0057,idle
931,XFN,435.8,3.02,0.123,0.0138,idle
932,XIC,225.05,1.44,0.077,0.0062,idle
933,XIL,253.68,1.33,0.103,0.0057,idle
934,XIY,8006.46,57.05,2.171,0.2282,idle
935,XMN,4175.28,29.8,0.95,0.1137,idle
936,XNN,1411.69,9.23,0.444,0.0386,idle
937,XUZ,570.67,4.02,0.163,0.0183,idle
938,YBP,499.77,3.67,0.139,0.0153,idle
939,YCU,529.3,3.72,0.148,0.0174,idle
940,YIC,200.14,1.41,0.057,0.0065,idle
941,YIE,16.42,0.1,0.005,0.0004,idle
942,YIH,693.68,4.67,0.198,0.0212,idle
943,YIN,344.14,2.2,0.099,0.0086,idle
944,YIW,641.55,4.55,0.156,0.0196,idle
945,YKH,47.23,0.32,0.012,0.0011,idle
946,YLX,77.71,0.55,0.022,0.0024,idle
947,YNJ,188.3,1.36,0.049,0.0062,idle
948,YNT,1648.98,11.39,0.469,0.0512,idle
949,YNZ,389.13,2.71,0.114,0.0126,idle
950,YSQ,28.71,0.19,0.008,0.0008,idle
951,YTW,52.05,0.33,0.015,0.0014,idle
952,YTY,569.91,3.98,0.167,0.0185,idle
953,YUS,81.59,0.45,0.033,0.0014,idle
954,YYA,159.64,1.06,0.05,0.0049,idle
955,YZY,106.88,0.72,0.032,0.0032,idle
956,ZAT,169.69,1.12,0.046,0.0048,idle
957,ZHA,555.22,3.77,0.161,0.0166,idle
958,ZHY,51.09,0.36,0.015,0.0017,idle
959,ZQZ,96.26,0.68,0.028,0.0031,idle
960,ZUH,2242.42,15.94,0.549,0.0706,idle
961,ZYI,289.69,1.92,0.091,0.0085,idle
