Index,Org,Dst,CO2/kt,NOx/t,CO/t,HC/t
225,PEK,KWE,7.86,40.03,5.79,0.53
226,HGH,KWE,7.14,36.23,5.62,0.55
227,XIY,XMN,6.73,36.09,4.1,0.4
228,HGH,SHE,7.48,38.53,5.53,0.46
229,PKX,PVG,6.11,33.17,4.99,0.45
230,WUH,PKX,5.68,29.65,4.49,0.44
231,KWE,HGH,5.91,31.5,4.46,0.48
232,PKX,WUH,4.15,19.32,3.2,0.28
233,NKG,SHE,5.23,25.88,4.71,0.45
234,PVG,PKX,7.39,41.16,6.09,0.55
235,XIY,SHE,5.71,27.83,5.5,0.53
236,SHA,CSX,5.01,26.94,4.54,0.42
237,DLC,NKG,3.38,18.29,3.51,0.38
238,SYX,CAN,3.56,18.93,2.98,0.28
239,CSX,SHA,5.2,30.15,3.91,0.38
240,SHE,XIY,8.5,41.28,7.86,0.71
241,SHE,NKG,6.23,31.66,5.93,0.6
242,CSX,SYX,6.91,38.95,5.28,0.55
243,PVG,TAO,2.72,14.78,2.79,0.3
244,DLC,HGH,4.72,23.3,3.84,0.37
245,XMN,KMG,7.45,36.99,5.87,0.57
246,CKG,HAK,5.07,24.59,4.92,0.46
247,KMG,XMN,6.43,32.62,4.95,0.5
248,NKG,XMN,3.72,18.05,3.92,0.38
249,SYX,CSX,5.3,27.92,3.83,0.37
250,TAO,XIY,5.27,25.61,4.68,0.44
251,TSN,SZX,8.49,42.44,5.49,0.49
252,WUH,PEK,5.87,32.21,4.93,0.49
253,XIY,TAO,5.32,27.62,4.68,0.49
254,XIY,TNA,4.05,19.92,3.85,0.36
255,PEK,WUH,4.89,24.27,4.06,0.38
256,KMG,TNA,8.19,41.86,6.43,0.65
257,HRB,PEK,5.87,32.94,4.41,0.38
258,TNA,XIY,4.03,18.47,3.99,0.35
259,SHA,PKX,6.87,37.67,5.72,0.47
260,WUH,HAK,6.81,36.04,5.08,0.49
261,XMN,CKG,7.03,36.01,5.48,0.53
262,HGH,DLC,5.55,29.9,4.37,0.45
263,HAK,CKG,5.21,25.45,4.88,0.46
264,NKG,DLC,3.88,20.25,3.85,0.4
265,NKG,CGQ,6.22,31.73,5.78,0.59
266,CGQ,NKG,6.43,31.19,6.59,0.66
267,CKG,XMN,5.24,25.19,4.26,0.41
268,WUH,XMN,4.25,22.77,2.97,0.29
269,PKX,SHA,5.54,28.96,4.03,0.3
270,HAK,WUH,5.01,25.46,3.68,0.35
271,TNA,KMG,7.38,33.52,6.57,0.59
272,CAN,SYX,4.45,25.54,3.79,0.38
273,PVG,NNG,7.39,36.19,7.01,0.66
274,XMN,WUH,4.01,21.61,2.62,0.25
275,PEK,HRB,5.08,28.16,3.67,0.32
276,SHA,TSN,5.21,28.64,3.8,0.38
277,CKG,CSX,2.92,15.52,2.41,0.24
278,SYX,PEK,16.19,75.45,38.2,3.21
279,PEK,HAK,14.85,74.44,17.34,1.24
280,HAK,PEK,16.79,85.75,21.48,1.61
281,KWE,XIY,3.62,19.78,3.18,0.35
282,CSX,CKG,4.16,23.65,3.52,0.37
283,TFU,TNA,5.83,30.74,4.59,0.48
284,HET,CIF,2.47,10.96,3.06,0.25
285,LJG,TFU,2.23,11.32,2.61,0.25
286,PEK,SYX,14.06,65.48,31.88,2.66
287,TNA,TFU,5.89,28.11,4.57,0.42
288,HGH,TAO,4.45,23.28,3.39,0.34
289,SHA,TYN,5.47,27.75,5.49,0.54
290,TYN,SHA,4.38,21.99,4.15,0.42
291,TAO,PVG,2.54,13.68,2.37,0.25
292,PVG,SYX,8.85,46.19,7.29,0.68
293,HET,TGO,3.38,16.02,3.56,0.33
294,CAN,HFE,5.15,27.01,3.5,0.32
295,XIY,KWE,3.57,19.12,3.28,0.35
296,TSN,TFU,7.07,33.64,4.49,0.38
297,CGO,PVG,4,20.72,3.61,0.36
298,PKX,SYX,9.76,49,11.21,1.09
299,TAO,HGH,3.11,15.2,2.68,0.26
300,NNG,TFU,3.86,19.41,3.75,0.37
301,NGB,CAN,5.11,25.11,3.48,0.26
302,FOC,PEK,7.94,42.87,5.7,0.57
303,TFU,XMN,6.1,32.12,3.92,0.36
304,SYX,PVG,7.85,40.7,6.53,0.62
305,PEK,FOC,6.13,29.46,4.6,0.42
306,TSN,PVG,5.22,25.95,3.61,0.31
307,TFU,TSN,6.37,33.5,4.01,0.4
308,HFE,CAN,4.04,18.9,3.06,0.26
309,CSX,TNA,5.25,27.42,4.26,0.41
310,XMN,TFU,6.96,37.53,4.81,0.43
311,PEK,YNT,2.41,13.12,2.06,0.21
312,SYX,PKX,10.6,53.39,13.95,1.35
313,CAN,NGB,4.95,26.19,3.44,0.3
314,TFU,LJG,2.75,13.82,3.17,0.29
315,SWA,PVG,4.07,21.47,4.04,0.42
316,TNA,CSX,3.97,18.95,3.48,0.32
317,CGO,TFU,4.95,24.28,3.97,0.34
318,TFU,CGO,3.91,19.29,3.11,0.27
319,HGH,HRB,8.28,45.7,6.16,0.66
320,HRB,HGH,7.67,40.36,5.59,0.58
321,TFU,HFE,4.89,25.49,4.43,0.45
322,YNT,PEK,2.43,12.19,2.31,0.22
323,HFE,TFU,4.71,21.56,5.02,0.46
324,PEK,DLC,2.45,13.02,2.05,0.2
325,PVG,SWA,3.8,18.58,4.08,0.41
326,DLC,PEK,2.54,12.45,2.26,0.2
327,TFU,NNG,3.84,19.6,3.74,0.37
328,DLC,TAO,1.44,9.07,1.56,0.18
329,TAO,CGQ,3.92,19.15,3.87,0.38
330,NNG,PVG,5.62,28.45,4.84,0.49
331,WUH,PVG,3.27,16.89,3.13,0.31
332,TGO,HET,2.75,13.97,3.07,0.32
333,PVG,WUH,3.06,14.78,2.92,0.27
334,CGQ,TAO,4.02,19.29,3.95,0.38
335,CSX,TSN,5.46,28.51,4.19,0.42
336,URC,HGH,11.37,57.72,7.28,0.69
337,LHW,PEK,5.73,28.77,4.64,0.32
338,TSN,CSX,5.09,25.52,3.99,0.38
339,WUX,TFU,5.84,28.44,5.39,0.48
340,TFU,WUX,5.26,27.75,4.05,0.41
341,SYX,HGH,6.93,37.98,6.24,0.65
342,HGH,SYX,7.33,40.74,6.41,0.68
343,PEK,LHW,4.5,24.87,3.07,0.26
344,PVG,CSX,3.51,17.98,3.6,0.36
345,HGH,URC,11.88,55.78,8.86,0.73
346,HET,HLH,3.43,15.86,3.68,0.33
347,TSN,SHA,4.3,23.19,2.69,0.25
348,SZX,NGB,4.9,28.5,3.96,0.41
349,NKG,CSX,2.62,12.63,2.99,0.29
350,SHE,TFU,9.42,48.88,6.86,0.58
351,CSX,TYN,4.63,23.98,3.68,0.36
352,XIY,SYX,6.97,37.13,5.25,0.56
353,SYX,XIY,7.48,40.49,5.75,0.63
354,SHA,WUH,2.96,14.6,3.42,0.34
355,TYN,CSX,3.88,18.74,3.29,0.31
356,CKG,URC,8.08,39.96,6.52,0.66
357,WUH,SHA,2.81,14.55,2.89,0.29
358,CSX,PVG,4.04,22.4,3.73,0.4
359,URC,CKG,6.96,36.21,5.28,0.57
360,CTU,WUH,3.78,20.11,2.85,0.25
361,PVG,CGO,3.66,17.88,3.46,0.31
362,CSX,NKG,3.72,20.91,3.37,0.36
363,TFU,SHE,6.96,37.68,5.08,0.48
364,WUH,CTU,4.83,25.32,4.31,0.39
365,FOC,CKG,5.7,29.06,4.31,0.41
366,SYX,CKG,4.91,24.97,4.84,0.5
367,PVG,HAK,7.36,40.33,4.97,0.44
368,CKG,FOC,4.79,24.21,3.41,0.33
369,NGB,PKX,5.39,29.36,4.57,0.48
370,WUH,CKG,3.71,19.47,3.03,0.3
371,KWL,PVG,4.61,24.24,4.3,0.42
372,LHW,PKX,4.45,23.19,4.24,0.45
373,PKX,ZUH,6.18,28.46,4.62,0.42
374,PKX,NGB,4.37,23.11,3.54,0.37
375,TAO,DLC,1.37,8.74,1.44,0.17
376,SHA,SYX,7.94,40.89,5.97,0.46
377,PVG,KWL,5.42,27.96,5.25,0.48
378,CKG,SYX,4.55,22.52,4.39,0.44
379,HAK,PVG,6.21,33.85,4.26,0.39
380,SYX,SHA,6.67,33.98,4.98,0.4
381,LHW,PVG,4.92,24.34,4.89,0.51
382,ZUH,PKX,7.12,35.56,5.36,0.52
383,PEK,NNG,6.98,33.73,5.97,0.59
384,NGB,SZX,4.24,23.29,3.53,0.36
385,URC,WUH,8.4,39.72,4.65,0.35
386,NNG,PEK,7.11,35.85,6.03,0.57
387,PVG,TSN,4.34,22.19,3.42,0.33
388,ZUH,PVG,4.72,25.25,4.18,0.43
389,WUH,URC,9.58,45.51,6.57,0.54
390,CKG,WUH,2.51,12.76,1.72,0.16
391,KWE,WNZ,4.4,24.23,3.11,0.33
392,HET,XIL,1.73,8.15,2.41,0.22
393,KWE,NGB,4.51,22.1,3.95,0.41
394,SHE,SZX,7.83,36.98,6.39,0.57
395,SZX,KWE,4.17,22.08,2.92,0.28
396,CGQ,TNA,4.11,20.17,4.02,0.41
397,TNA,CGQ,3.81,19.17,3.54,0.36
398,TSN,CKG,5.67,26.68,3.98,0.33
399,NGB,KWE,5.14,24.47,4.76,0.46
400,CTU,NKG,5.39,29.82,4.14,0.36
401,SZX,SHE,7.7,37.63,6.33,0.59
402,PVG,LHW,6.16,29.57,6.3,0.61
403,KHN,XIY,4.14,20.96,3.62,0.35
404,NKG,CTU,5.06,24.33,4.87,0.36
405,HET,HLD,3.7,17.15,3.45,0.28
406,CKG,TSN,4.88,25.8,3.43,0.34
407,CSX,CTU,4.31,23.84,3.62,0.31
408,WNZ,KWE,5.5,28.83,4.27,0.42
409,HRB,NKG,5.98,28.96,5.12,0.51
410,CTU,CSX,3.68,20.61,2.81,0.24
411,NKG,HRB,5.69,28.1,4.63,0.47
412,HLD,HET,3,15.07,2.93,0.29
413,CGO,HGH,3.33,18.21,2.62,0.27
414,CSX,URC,9.28,44.7,5.91,0.51
415,URC,CSX,8.04,38.64,4.79,0.42
416,HGH,CGO,3.17,16.9,2.57,0.26
417,XIY,KHN,3.27,16.43,2.6,0.25
418,KWE,SZX,2.73,13.15,2.15,0.2
419,SZX,SYX,3.36,19.02,3.01,0.29
420,URC,TNA,8.14,40.89,3.94,0.39
421,HLH,HET,2.67,13.67,3.06,0.33
422,INC,PEK,3.68,19.17,3.27,0.29
423,HRB,TFU,8.19,41.84,5.86,0.55
424,DLC,TNA,1.5,8.89,1.3,0.15
425,PEK,INC,2.66,15.41,2.18,0.24
426,WUX,KMG,5.94,29.06,5.45,0.52
427,FOC,PKX,6.42,33.71,4.2,0.37
428,KMG,WUX,5.68,30.91,4.29,0.45
429,HFE,KMG,4.61,20.81,4.74,0.43
430,PKX,FOC,5.58,28.53,3.35,0.27
431,XMN,TSN,5.56,28.2,3.96,0.38
432,CGO,KWE,4.57,22.33,4.16,0.4
433,TSN,XMN,5.14,25.27,3.68,0.34
434,DLC,TSN,1.55,7.21,1.49,0.13
435,PEK,KHN,3.89,19.72,2.84,0.24
436,KHN,PEK,5.6,31.38,3.61,0.32
437,NKG,TYN,3.17,14.57,3.52,0.3
438,SHA,YNT,3,16.52,2.83,0.3
439,SHE,CGO,4.21,20.3,3.57,0.34
440,KMG,HFE,4.93,25.75,4.23,0.43
441,JHG,KMG,1.73,8.19,1.97,0.19
442,TNA,URC,7.59,36.23,4.05,0.36
443,CGO,SYX,6.14,31.04,4.76,0.48
444,NNG,HGH,4.57,24.32,3.31,0.35
445,TFU,KHN,3.34,17.11,2.64,0.24
446,SYX,CGO,5.42,26.87,4.13,0.41
447,KHN,TFU,4.22,20.99,3.77,0.32
448,CKG,HFE,3.34,17.48,3.05,0.32
449,SZX,WNZ,3.04,17.29,2.34,0.25
450,HGH,NNG,5.26,27.06,4.39,0.45
451,CGO,FOC,3.81,19.26,2.7,0.25
452,TFU,HRB,6.93,36.53,4.87,0.49
453,FOC,CGO,4.2,21.48,3.02,0.29
454,HFE,CKG,3.46,16.36,3.47,0.33
455,SJW,TFU,3.75,18.77,3.08,0.28
456,CIF,HET,1.55,8.02,1.92,0.2
457,DLC,PKX,2.16,12.02,1.92,0.2
458,TSN,KMG,6.53,29.72,5.42,0.46
459,PKX,DLC,2.43,14.43,2.02,0.21
460,XIY,FOC,4.42,22.49,3.16,0.3
461,CSX,NGB,3.23,17.98,2.19,0.22
462,NGB,CSX,2.61,13.14,2.09,0.2
463,CGO,SHE,4.01,19.74,3.27,0.31
464,TYN,CAN,4.45,20.77,2.82,0.26
465,XMN,HGH,2.93,15.81,2.06,0.21
466,WNZ,SZX,3.04,15.73,2.66,0.27
467,FOC,XIY,5.26,27.59,3.64,0.33
468,TFU,SJW,3.87,20.94,3.17,0.32
469,HGH,XMN,2.49,12.64,2.08,0.2
470,KMG,TSN,6.35,31.32,4.8,0.45
471,CAN,TYN,4.38,21.21,2.9,0.27
472,KWE,CGO,3.33,15.61,2.92,0.27
473,ZUH,PEK,7.34,38.35,5.33,0.46
474,TYN,NKG,3.11,14.82,3.23,0.3
475,PEK,ZUH,6.46,31.51,4.39,0.34
476,HRB,SZX,7.46,35.3,6.18,0.55
477,TYN,TFU,3,14.68,2.89,0.27
478,SZX,HRB,8.06,40.04,6.54,0.61
479,TCZ,KMG,1.7,8.26,1.66,0.16
480,TYN,SZX,4.96,25.2,3.65,0.34
481,WUX,XIY,3.96,19.88,3.94,0.37
482,HAK,KHN,2.9,13.41,2.84,0.24
483,XIY,WUX,3.42,18.06,3.03,0.3
484,TFU,TYN,3.25,17.06,3.08,0.31
485,KHN,HAK,3.96,19.76,3.78,0.34
486,KMG,WNZ,4.83,25.05,3.54,0.36
487,CGO,HET,3.06,15.56,2.5,0.23
488,FOC,KMG,5.56,27.33,4.19,0.41
489,HET,CGO,2.23,10.5,2.15,0.2
490,WNZ,KMG,5.21,24.48,4.53,0.42
491,KMG,FOC,5.09,26.21,3.63,0.36
492,YNT,SHA,2.36,12.13,2.07,0.21
493,CAN,XMN,1.98,10.76,1.64,0.16
494,TYN,HGH,3.43,17.56,3.13,0.32
495,HGH,TYN,3.94,20.18,3.34,0.33
496,PEK,WNZ,5.05,26.95,3.75,0.28
497,HGH,HAK,4.76,24.35,3.87,0.39
498,TSN,CTU,5.36,25.71,3.65,0.3
499,URC,NKG,7.69,38.56,5.27,0.51
500,CAN,SHE,6.1,29.08,5.27,0.45
501,KWE,SYX,3.05,15.82,2.85,0.29
502,NKG,URC,7.87,35.05,6.55,0.57
503,XIY,LXA,3.67,13.17,4.47,0.16
504,XNN,PKX,3.78,18.91,3.69,0.38
505,SHE,CAN,7.09,34,5.78,0.47
506,SHE,CSX,5.37,27.28,4.16,0.4
507,CTU,TSN,5.03,27.15,3.33,0.32
508,HAK,HGH,4.2,21.55,3.35,0.34
509,SYX,KWE,3.23,17,3.34,0.35
510,SZX,TYN,5.19,28.31,3.88,0.39
511,ENH,WUH,1.29,6.32,1.18,0.11
512,XIY,HAK,5.16,26.96,3.91,0.4
513,NGB,TAO,2.98,16.59,2.38,0.25
514,CSX,SHE,5.35,27.91,4.25,0.42
515,HAK,NNG,1.53,7.54,1.85,0.19
516,TNA,KWE,4.43,20.62,3.79,0.35
517,NKG,NNG,4.23,19.46,3.58,0.31
518,HAK,XIY,5.3,27.98,4.09,0.42
519,NNG,NKG,4.05,19.79,3.04,0.28
520,NNG,HAK,1.6,7.91,1.88,0.19
521,WUH,TNA,3.11,16.29,2.46,0.24
522,HGH,ZUH,3.58,17.91,2.45,0.24
523,XIL,HET,1.22,6.5,1.71,0.19
524,WUH,ZUH,3.21,16.65,2.33,0.23
525,LXA,XIY,3.48,12.83,3.9,0.14
526,ZUH,HGH,3.67,19.67,2.41,0.25
527,KWE,TNA,4.36,21.74,3.45,0.34
528,LHW,KMG,3.17,14.33,3.22,0.3
529,TNA,WUH,2.22,10.29,1.75,0.16
530,HRB,XIY,5.15,25.61,4.71,0.46
531,PKX,HAK,6.62,34.48,5.15,0.47
532,XIY,HRB,4.3,21.46,3.75,0.38
533,CGQ,XIY,4.18,19.63,4.61,0.43
534,ZUH,WUH,2.76,14.72,2.12,0.22
535,KMG,LHW,3.59,18.23,3.49,0.36
536,WUH,WNZ,2.38,12.7,1.96,0.2
537,WNZ,WUH,2.16,10.42,1.91,0.18
538,KMG,KHN,3.39,17.91,2.7,0.27
539,LJG,PVG,4.91,23.22,4.77,0.47
540,NKG,LHW,3.8,17.01,4.24,0.38
541,LHW,NKG,3.86,19.29,3.49,0.33
542,HET,NKG,3.77,18.79,3.38,0.32
543,TAO,NGB,2.26,11.72,1.9,0.19
544,KHN,KMG,4.01,19.99,3.62,0.34
545,WUH,NNG,3.82,19.84,2.83,0.28
546,ZUH,XIY,4.59,22.93,3.56,0.35
547,NNG,WUH,2.52,12.54,1.94,0.19
548,XMN,KWE,3.99,20.89,2.7,0.27
549,WUH,SYX,4.9,26.4,4.89,0.49
550,TFU,LHW,2.05,10.47,2.38,0.21
551,KWE,XMN,2.81,13.6,2.01,0.19
552,NKG,HET,3.28,15.27,3.57,0.34
553,HRB,CGO,4.39,20.75,3.54,0.29
554,CGQ,HGH,4.38,20.53,3.58,0.25
555,XIY,ZUH,3.9,18.41,2.94,0.28
556,KMG,TYN,4.76,23.94,4.28,0.44
557,HAK,PKX,6.63,35.79,4.9,0.47
558,CAN,KWE,2.58,13.06,2,0.19
559,SYX,WUH,3.64,19,3.32,0.32
560,KMG,HAK,3.17,16.71,2.65,0.27
561,HGH,CGQ,4.9,24.8,3.69,0.27
562,CGO,HRB,4.55,22.77,3.16,0.26
563,HAK,KMG,2.63,12.48,2.45,0.23
564,TYN,KMG,3.87,17.65,3.95,0.38
565,KWE,CAN,2.04,9.75,1.65,0.15
566,SHE,WUH,4.06,19.8,3.32,0.29
567,YNT,SHE,1.89,8.84,2.18,0.21
568,ZUH,SHA,3.14,16.34,2.9,0.31
569,LHW,TFU,1.74,8.47,2.01,0.16
570,KHN,CKG,3.17,15.8,2.66,0.23
571,WUH,SHE,4.27,22.29,3.73,0.37
572,SHE,YNT,2.05,10.51,2.22,0.23
573,FOC,PVG,2.4,14.22,2.05,0.22
574,PVG,LJG,5.42,24.62,5.71,0.51
575,CKG,KHN,2.19,10.69,1.83,0.16
576,YIW,CAN,2.57,11.98,2.12,0.18
577,CAN,FOC,2.24,11.75,1.99,0.19
578,LHW,CSX,3.07,14.7,2.38,0.21
579,PEK,TAO,1.99,10.92,1.89,0.17
580,DLC,XIY,3.91,19.58,3.26,0.26
581,CAN,YIW,2.8,14.48,2.19,0.21
582,LJG,CAN,3.06,14.03,3.42,0.33
583,SYX,NKG,5.18,27.24,4.17,0.39
584,DLC,CGO,2.5,11.83,2.1,0.19
585,HSN,JJN,2.14,10.29,1.97,0.19
586,FOC,CAN,2.48,12.82,2.2,0.2
587,JJN,HSN,2.57,13.29,2,0.19
588,HAK,SHA,5.26,28.89,3.63,0.28
589,HAK,TFU,3.43,17.64,2.87,0.29
590,NNG,CKG,2.4,12.78,2.21,0.23
591,TFU,HAK,3.7,19.48,3.01,0.3
592,CSX,LHW,3.94,19.62,3,0.27
593,CGQ,CGO,3.65,16.82,3.28,0.3
594,SHA,HAK,6.61,36.7,4.63,0.34
595,TAO,PEK,1.48,9.03,1.39,0.14
596,ZUH,TFU,3.92,20.55,3.06,0.29
597,XMN,CTU,4.49,23.13,3.81,0.31
598,CGO,CGQ,4.32,21.98,3.36,0.32
599,CGO,DLC,3.15,16.57,2.39,0.25
600,CSX,HRB,5.52,26.93,4.47,0.42
601,TFU,ZUH,3.29,16.73,2.44,0.22
602,XIY,HET,1.95,8.54,2.34,0.18
603,FOC,KWE,3.97,20.4,2.89,0.28
604,PVG,SJW,2.84,14.18,2.29,0.23
605,CTU,XMN,3.91,20.34,3.16,0.26
606,HRB,CSX,5.14,23.93,4.3,0.39
607,CGQ,SZX,5.81,27.17,4.8,0.44
608,KWE,FOC,3.04,14.81,2.21,0.21
609,HGH,LHW,4.31,20.73,4.1,0.39
610,TNA,XMN,2.92,13.9,2.06,0.18
611,NNG,CGO,3.45,16.74,2.73,0.26
612,LHW,HGH,4.17,21.11,3.35,0.35
613,KHN,TAO,3.02,15.14,2.7,0.23
614,SJW,PVG,2.35,11.69,1.96,0.2
615,XIY,DLC,3.15,17.13,2.47,0.24
616,XMN,TNA,3.79,19.83,2.74,0.26
617,CGO,NNG,3.97,19.51,3.35,0.33
618,SHA,ZUH,3.29,16.2,3.05,0.3
619,WUH,TYN,2.57,13.3,2.17,0.21
620,HAK,KWE,2.48,12.01,2.21,0.2
621,KWE,SHA,2.83,13.82,2.91,0.3
622,SZX,CGQ,6.89,34.25,5.62,0.55
623,KWE,HAK,2.22,10.85,2.04,0.19
624,NKG,SYX,4.35,22.04,4.03,0.4
625,TNA,SHE,1.95,9.19,1.83,0.17
626,HET,CAN,4.68,23.88,3.24,0.29
627,TYN,WUH,1.84,8.51,1.66,0.15
628,ZUH,CKG,3.57,18.97,2.73,0.28
629,XIY,NNG,3.34,16.69,2.75,0.27
630,HET,XIY,2,8.82,2.12,0.16
631,CKG,LJG,1.63,8.29,1.9,0.19
632,CAN,HET,4.49,22.87,3.48,0.31
633,TNA,CTU,3.47,16.44,3.22,0.24
634,FOC,TFU,4.26,21.66,2.69,0.24
635,TAO,KHN,2,8.83,2.14,0.17
636,SZX,URC,9.17,44.76,6.65,0.56
637,CKG,ZUH,2.6,12.91,2.13,0.21
638,SJW,KMG,4.1,18.97,3.27,0.31
639,SHE,TNA,2.66,13.47,2.29,0.23
640,TFU,FOC,3.84,19.67,2.16,0.2
641,URC,SZX,7.89,37.89,5.42,0.44
642,CTU,TNA,3.94,21.48,3.2,0.27
643,KMG,SJW,4.82,24.36,3.57,0.37
644,TFU,XNN,1.97,9.25,2.41,0.19
645,WUH,TSN,3.03,15.54,2.35,0.21
646,TSN,WUH,2.65,12.93,2.08,0.17
647,NGB,TFU,3.91,18.46,3.64,0.32
648,NNG,XIY,3.64,18.81,2.86,0.29
649,INC,PVG,3.74,19.72,3.23,0.34
650,CKG,NNG,1.97,10.29,1.99,0.21
651,NTG,TFU,4.01,19.52,3.25,0.29
652,XNN,TFU,1.64,7.52,1.96,0.15
653,TFU,NGB,3.84,19.62,3.21,0.32
654,TFU,NTG,3.75,20,2.6,0.26
655,LJG,CKG,2.01,9.89,2.18,0.2
656,WNZ,PEK,5.17,28.96,3.82,0.36
657,YNT,TFU,4.02,19.32,3.52,0.29
658,WUH,LHW,3.46,17.17,3.19,0.31
659,TFU,YNT,3.79,20.24,3.19,0.31
660,CGO,CKG,2.76,13.1,2.48,0.19
661,HET,TSN,1.48,6.53,1.73,0.14
662,PEK,NGB,2.97,15.29,2.36,0.23
663,PVG,INC,4.59,23.44,4.27,0.42
664,NGB,PEK,3.75,20.07,3.5,0.31
665,TSN,HET,1.62,7.2,1.65,0.13
666,XMN,SHE,4.79,24.09,3.39,0.33
667,LHW,WUH,2.59,12.21,1.84,0.16
668,NKG,PEK,2.76,15.19,2.11,0.18
669,HGH,SJW,2.94,16,2.2,0.23
670,XIY,NGB,3.24,16.64,2.86,0.3
671,SHE,XMN,4.43,21.65,3.59,0.35
672,CAN,LHW,4.44,21.91,4.3,0.35
673,HAK,ZUH,1.03,5.23,1.14,0.11
674,CKG,TYN,2.02,10.16,1.95,0.19
675,SJW,CAN,3.49,15.65,3.16,0.27
676,TAO,XMN,3.09,14.47,2.43,0.23
677,XMN,TAO,4.14,21.19,2.9,0.3
678,CAN,CGQ,5.91,29.6,5.25,0.52
679,CKG,CGO,1.96,8.97,1.77,0.13
680,CAN,SJW,3.46,16.26,3.14,0.29
681,CGO,ZUH,3.27,16.06,2.44,0.23
682,PEK,NKG,2.49,14.79,1.92,0.19
683,CGQ,CAN,5.69,27.78,4.8,0.46
684,ZUH,CGO,3.4,17.34,2.5,0.24
685,TFU,INC,2.18,10.99,2.35,0.22
686,YNT,HRB,2.4,11.65,2.63,0.26
687,SJW,HGH,2.21,11.52,1.77,0.18
688,FOC,SHA,1.73,9.57,1.47,0.15
689,HET,WUH,2.43,11.82,1.75,0.16
690,TFU,CZX,3.11,16.55,2.57,0.25
691,KMG,SYX,3.16,17.9,2.67,0.28
692,HRB,YNT,2.28,11.17,2.37,0.23
693,INC,TFU,1.96,9.49,2.01,0.17
694,INC,PKX,2.34,11.69,2.19,0.23
695,WUH,HET,2.91,14.98,2.4,0.24
696,KMG,CKG,2.1,11.05,2.1,0.22
697,NGB,WUH,1.7,8.17,1.64,0.15
698,CZX,TFU,3.3,15.99,3.21,0.27
699,CKG,KMG,1.47,7.38,1.66,0.17
700,SHA,FOC,1.8,9.67,1.72,0.18
701,WUH,NGB,2.08,11.13,2,0.21
702,TSN,HRB,2.91,14.65,2.56,0.25
703,PVG,ZHA,3.66,18.86,3.33,0.33
704,PKX,WNZ,2.85,15.21,2.27,0.25
705,TAO,KMG,4.28,19.57,3.99,0.36
706,HRB,TSN,2.49,11.49,2.16,0.19
707,XIY,WUH,2.03,10.47,1.31,0.11
708,ZHA,PVG,3.16,16.51,2.84,0.3
709,WNZ,PKX,3.55,18.93,2.8,0.29
710,NGB,XIY,3.36,16.21,3.32,0.32
711,URC,TSN,4.47,22.02,3.15,0.31
712,SHA,KWE,3.43,16.54,3.66,0.34
713,KRL,CGO,4.91,22.78,3.41,0.28
714,JHG,LJG,1.39,7.19,1.44,0.15
715,TYN,CKG,1.83,9.26,1.78,0.17
716,CGO,KRL,5.75,26.66,4.36,0.38
717,TSN,URC,5.53,25.96,3.69,0.32
718,HAK,XMN,2.04,10.16,1.73,0.16
719,HGH,YNT,2.27,11.13,2.27,0.19
720,WNZ,CKG,3.42,18.14,2.66,0.27
721,KHN,PKX,3.11,15.75,2.42,0.23
722,CKG,WNZ,2.81,15.59,1.98,0.21
723,CKG,SJW,2.11,10.98,1.91,0.21
724,HRB,CAN,5.62,27.14,4.15,0.32
725,YNT,HGH,1.79,7.99,2,0.16
726,PKX,KHN,2.12,9.74,1.92,0.17
727,XMN,HAK,2.62,14.16,2.05,0.2
728,HAK,NKG,3.34,16.83,2.78,0.27
729,CAN,HRB,6.12,29.35,4.36,0.32
730,SJW,CKG,2.05,10.71,1.85,0.2
731,NKG,ZUH,2.38,11.17,2.48,0.24
732,YIW,PKX,2.56,12.97,1.99,0.21
733,LJG,JHG,1.09,6.08,1.15,0.12
734,NKG,HAK,3.26,15.93,2.98,0.29
735,SHE,CKG,5.04,25.59,4.18,0.37
736,DIG,KMG,1.11,5.36,1.01,0.1
737,ZUH,NKG,3.03,16.21,2.6,0.26
738,KMG,TAO,4.33,22.5,3.57,0.37
739,LHW,CAN,3.71,17.74,3.34,0.25
740,DLC,WUH,2.4,11.38,1.92,0.16
741,WNZ,TFU,3.48,17.21,2.94,0.27
742,XIY,WNZ,2.74,14.45,2.32,0.23
743,WNZ,XIY,3.38,16.88,3.25,0.29
744,PKX,YIW,2.35,11.9,1.66,0.17
745,CKG,SHE,3.6,18.71,2.96,0.28
746,WUH,DLC,3.11,16.58,2.62,0.26
747,YNT,PVG,1.39,6.69,1.6,0.14
748,SWA,PKX,3.98,20.77,2.86,0.29
749,KWL,NKG,2.31,11.28,2.14,0.2
750,LHW,TNA,2.56,12.81,2.31,0.23
751,TFU,WNZ,3.05,16.27,2.28,0.23
752,SHE,TYN,2.71,14.16,2.46,0.24
753,NKG,KWL,2.35,10.64,2.43,0.2
754,CGQ,WEH,1.74,8.1,2.21,0.22
755,HSN,XMN,1.71,8.39,1.56,0.15
756,WUH,FOC,1.88,9.43,1.71,0.14
757,KWE,JJN,2.18,10.62,1.93,0.19
758,FOC,WUH,1.82,8.94,1.57,0.12
759,PKX,SWA,3.46,17.04,2.32,0.22
760,WEH,CGQ,1.77,8.43,2.2,0.22
761,KMG,ZUH,2.33,12.07,1.73,0.17
