Index,Org,Dst,CO2/kt,NOx/t,CO/t,HC/t
1802,LXA,WUH,0.87,3.09,0.98,0.03
1803,YIW,CKG,0.83,3.95,0.81,0.08
1804,WUH,LXA,1.25,4.3,1.62,0.05
1805,JJN,XUZ,0.69,3.47,0.82,0.09
1806,NGB,ZUH,0.73,3.5,0.8,0.08
1807,ZHA,HGH,0.76,3.45,0.82,0.05
1808,HGH,LZO,1,4.58,1.01,0.09
1809,NTG,FOC,0.5,2.51,0.44,0.04
1810,BHY,CKG,0.67,3.38,0.71,0.07
1811,HIA,TSN,0.45,2.48,0.28,0.03
1812,WNZ,CGQ,1.37,7.77,0.94,0.1
1813,KRY,TFU,1.11,5.03,1.02,0.08
1814,WMT,SHA,0.76,3.78,0.61,0.06
1815,FOC,NTG,0.55,2.92,0.42,0.04
1816,CKG,YIW,0.79,4.01,0.72,0.07
1817,CKG,BHY,0.58,2.81,0.63,0.06
1818,SHA,WMT,1,4.77,0.9,0.09
1819,HET,SJW,0.38,1.89,0.29,0.03
1820,CGD,PKX,0.97,5.75,0.67,0.06
1821,DLU,XIY,0.76,3.33,0.76,0.05
1822,PKX,CGD,0.95,5.29,0.69,0.06
1823,YNT,KHN,0.55,2.5,0.6,0.06
1824,ZUH,NGB,0.73,3.76,0.75,0.08
1825,PVG,DSN,1.2,7.12,0.94,0.11
1826,TXN,PEK,0.65,3.36,0.48,0.05
1827,SHE,LYA,0.85,4,0.85,0.08
1828,KHN,YNT,0.73,3.81,0.69,0.07
1829,DSN,PVG,0.97,5.71,0.71,0.08
1830,XIY,DLU,0.76,3.1,0.83,0.05
1831,CGQ,WNZ,1.1,6.02,0.78,0.09
1832,SJW,MIG,0.57,2.95,0.49,0.05
1833,DSN,NKG,0.8,3.98,0.59,0.06
1834,TFU,KCA,1.2,5.52,1.08,0.09
1835,YTY,CKG,0.76,3.5,0.89,0.08
1836,BAR,TFU,0.79,3.97,0.8,0.06
1837,BAR,PVG,0.93,4.69,0.89,0.09
1838,KWL,LHW,0.73,3.48,0.85,0.09
1839,TFU,BAR,0.86,4.52,0.81,0.07
1840,MIG,SJW,0.67,3.4,0.53,0.05
1841,HRB,INC,1.07,5.51,0.75,0.08
1842,SZX,WXN,0.8,4.21,0.55,0.06
1843,INC,HRB,1.06,5.34,0.73,0.08
1844,SZX,CGD,0.63,3.73,0.51,0.05
1845,WUT,SHE,0.53,2.55,0.52,0.05
1846,ZHA,CAN,0.24,0.96,0.4,0.02
1847,CKG,YTY,0.69,3.41,0.69,0.07
1848,XIY,WMT,0.34,1.6,0.48,0.05
1849,PVG,BAR,1.1,5.61,1.03,0.1
1850,NKG,DSN,0.72,3.39,0.61,0.06
1851,LHW,DLC,0.76,3.75,0.79,0.08
1852,HUZ,PKX,1.34,8.27,0.88,0.1
1853,HAK,KOW,0.53,2.57,0.57,0.06
1854,INC,SHE,0.7,3.21,0.77,0.07
1855,LJG,KHN,0.72,3.47,0.68,0.06
1856,SHE,INC,0.93,4.4,0.98,0.09
1857,YNJ,DLC,0.55,2.93,0.61,0.06
1858,DYG,NKG,0.54,2.83,0.54,0.06
1859,HFE,XNN,0.79,3.58,0.9,0.08
1860,XNN,HFE,0.77,3.91,0.74,0.07
1861,KOW,HAK,0.53,2.54,0.56,0.06
1862,TFU,TCZ,0.58,2.94,0.46,0.05
1863,KCA,TFU,0.99,4.52,0.91,0.07
1864,NKG,DYG,0.53,2.39,0.65,0.06
1865,KHN,LJG,0.93,4.53,0.97,0.09
1866,NBS,PVG,1.03,5.83,0.83,0.09
1867,KMG,NNG,0.46,2.35,0.54,0.06
1868,RIZ,PVG,0.36,1.71,0.5,0.05
1869,DLC,YNJ,0.58,3.13,0.61,0.07
1870,YCU,NKG,0.59,2.95,0.54,0.05
1871,LHW,XMN,1.01,4.89,0.83,0.08
1872,PKX,HUZ,1.08,6.14,0.67,0.08
1873,NKG,YCU,0.5,2.3,0.54,0.05
1874,BHY,CSX,0.47,2.29,0.37,0.04
1875,JHG,DLU,0.28,1.45,0.37,0.03
1876,NNG,KMG,0.39,1.82,0.54,0.06
1877,CAN,YBP,0.67,3.3,0.67,0.06
1878,DLC,LHW,0.8,3.63,0.95,0.09
1879,HAK,SHE,1.48,7.23,0.93,0.06
1880,DLU,CKG,0.54,2.63,0.65,0.06
1881,SWA,PEK,1.12,5.66,0.83,0.08
1882,PKX,DLU,1.1,5.02,0.85,0.08
1883,CSX,BHY,0.66,3.44,0.49,0.05
1884,DLU,PKX,1.14,5.62,0.78,0.08
1885,TFU,XUZ,0.84,5.11,0.64,0.07
1886,SJW,HET,0.24,1.46,0.21,0.02
1887,CKG,ZHA,0.68,3.3,0.51,0.05
1888,XUZ,TFU,0.88,4.71,0.7,0.07
1889,MIG,CAN,0.72,3.34,0.69,0.06
1890,CGQ,SYX,1.72,8.31,1.01,0.05
1891,TCZ,TFU,0.43,2.23,0.33,0.04
1892,SHE,HAK,1.59,7.86,1.06,0.06
1893,ZHA,PEK,1.18,5.81,0.81,0.08
1894,NTG,XIY,0.7,3.31,0.75,0.07
1895,NKG,WEH,0.43,2.2,0.5,0.05
1896,SYX,CGQ,1.72,8.48,0.97,0.05
1897,PEK,ZHA,1.18,5.41,0.88,0.08
1898,ZHA,CKG,0.67,3.25,0.51,0.05
1899,PEK,SWA,0.95,4.59,0.68,0.07
1900,YBP,CAN,0.58,2.71,0.56,0.05
1901,KWL,FOC,0.52,2.47,0.52,0.05
1902,YTY,PEK,0.45,2.5,0.39,0.04
1903,YBP,HAK,0.77,4.69,0.6,0.07
1904,PKX,YNT,0.33,1.48,0.34,0.02
1905,MIG,TSN,0.8,3.89,0.58,0.05
1906,CKG,LYA,0.37,2.03,0.43,0.05
1907,FOC,KWL,0.68,3.46,0.64,0.06
1908,YNT,XMN,0.66,3.02,0.6,0.05
1909,CSX,ZUH,0.49,2.65,0.31,0.03
1910,HAK,YBP,0.85,5.23,0.63,0.07
1911,HYN,PEK,0.82,3.82,0.75,0.07
1912,HYN,CKG,0.81,3.88,0.69,0.06
1913,PEK,JDZ,0.57,2.86,0.5,0.05
1914,XIY,NTG,0.65,3.19,0.61,0.06
1915,KWE,ZUH,0.4,1.9,0.33,0.03
1916,DQA,PVG,1.09,6.05,0.87,0.1
1917,XMN,LHW,1.17,5.75,0.99,0.09
1918,CZX,TAO,0.35,1.78,0.3,0.03
1919,LZH,PEK,0.99,4.8,0.83,0.09
1920,XMN,YNT,0.89,4.36,0.72,0.07
1921,YNT,PKX,0.28,1.2,0.31,0.02
1922,ZUH,KWE,0.65,3.38,0.47,0.05
1923,INC,HET,0.33,1.54,0.48,0.05
1924,CAN,MIG,0.71,3.34,0.68,0.06
1925,LYA,SHE,0.64,3.08,0.67,0.06
1926,LHW,KWL,0.68,3.22,0.75,0.07
1927,WNZ,TSN,0.74,3.5,0.61,0.05
1928,PKX,YIH,0.68,3.26,0.49,0.05
1929,ZHA,CSX,0.44,2.26,0.42,0.04
1930,CKG,HYN,0.74,3.63,0.6,0.06
1931,CKG,DLU,0.4,1.96,0.53,0.05
1932,TSN,UYN,0.37,1.31,0.51,0.03
1933,HET,INC,0.38,1.79,0.4,0.04
1934,JDZ,PEK,0.55,2.84,0.45,0.05
1935,TSN,MIG,0.79,3.59,0.61,0.05
1936,DLU,CTU,0.34,1.28,0.43,0.02
1937,TNA,ZHA,0.92,4.27,0.69,0.07
1938,LDS,PKX,0.79,3.76,0.59,0.06
1939,NGB,WEH,0.53,2.53,0.61,0.06
1940,WEH,NGB,0.51,2.4,0.61,0.06
1941,ZUH,SJW,0.99,4.97,0.7,0.07
1942,NNG,SWA,0.42,2.07,0.35,0.03
1943,LUM,CKG,0.61,3.14,0.48,0.05
1944,KOW,PEK,0.8,3.09,1.07,0.05
1945,KMG,YIW,0.89,4.59,0.75,0.08
1946,YIH,PKX,0.67,3.31,0.47,0.04
1947,PEK,KOW,0.8,3.76,0.57,0.05
1948,PEK,HYN,0.68,3.18,0.65,0.06
1949,XIY,YIH,0.27,1.56,0.22,0.02
1950,PVG,DQA,1.09,6.04,0.88,0.1
1951,SWA,CTU,0.98,5.85,0.69,0.07
1952,PKX,LDS,0.73,3.58,0.54,0.05
1953,SWA,NNG,0.61,3.18,0.44,0.04
1954,CTU,SWA,0.98,5.92,0.62,0.07
1955,WMT,KMG,0.29,1.59,0.25,0.03
1956,DIG,CAN,0.67,3.11,0.47,0.04
1957,HET,SZX,0.96,4.48,0.67,0.06
1958,CTU,DLU,0.43,1.68,0.57,0.02
1959,PVG,JNZ,0.5,2.46,0.55,0.06
1960,ZUH,CSX,0.42,2.24,0.31,0.03
1961,DYG,PEK,0.74,3.64,0.57,0.06
1962,LYA,CKG,0.36,1.97,0.41,0.05
1963,SJW,ZUH,0.87,4.01,0.65,0.06
1964,PEK,LZH,0.92,4.29,0.71,0.07
1965,TSN,WNZ,0.67,3.38,0.55,0.05
1966,ZHA,TNA,1.01,4.86,0.76,0.08
1967,YIW,KMG,0.85,3.88,0.84,0.08
1968,JNZ,PVG,0.52,2.54,0.55,0.06
